order_id,customer_id,order_date,channel,status,payment_method
30001,1065,2024-08-07,App,Completed,Cash
30002,1022,2024-03-15,App,Completed,Bank Transfer
30003,1090,2024-01-04,App,Completed,Cash
30004,1120,2024-11-30,App,Completed,Bank Transfer
30005,1082,2024-05-13,Web,Returned,Card
30006,1050,2024-04-27,Web,Completed,Wallet
30007,1014,2025-01-03,App,Completed,Wallet
30008,1064,2024-04-03,Web,Completed,Wallet
30009,1047,2025-03-10,Web,Completed,Wallet
30010,1029,2024-03-02,Web,Completed,Bank Transfer
30011,1076,2025-03-16,Web,Completed,Bank Transfer
30012,1036,2024-07-12,Store,Completed,Cash
30013,1099,2024-11-30,App,Completed,Bank Transfer
30014,1052,2024-07-21,Store,Returned,Cash
30015,1076,2025-01-26,App,Completed,Cash
30016,1007,2024-01-26,App,Cancelled,Wallet
30017,1029,2025-03-10,Web,Completed,Bank Transfer
30018,1011,2024-06-21,App,Completed,Bank Transfer
30019,1033,2024-10-26,Web,Completed,Cash
30020,1006,2024-05-12,Store,Completed,Cash
30021,1111,2024-11-21,App,Completed,Card
30022,1079,2025-02-13,Web,Completed,Card
30023,1032,2024-04-27,Store,Completed,Cash
30024,1051,2024-11-19,App,Completed,Card
30025,1075,2024-10-01,App,Completed,Card
30026,1058,2024-07-30,Web,Pending,Cash
30027,1087,2024-08-12,App,Completed,Cash
30028,1026,2024-01-20,App,Completed,Bank Transfer
30029,1098,2024-04-22,Web,Completed,Cash
30030,1046,2024-05-19,Web,Returned,Cash
30031,1098,2024-02-16,App,Cancelled,Wallet
30032,1029,2024-01-01,Web,Completed,Bank Transfer
30033,1004,2024-03-30,App,Completed,Bank Transfer
30034,1081,2024-05-21,Store,Completed,Bank Transfer
30035,1099,2024-11-15,Store,Completed,Wallet
30036,1013,2024-02-07,Web,Completed,Cash
30037,1105,2024-10-19,Store,Cancelled,Bank Transfer
30038,1039,2025-01-16,Web,Completed,Bank Transfer
30039,1015,2024-05-18,Web,Completed,Card
30040,1119,2024-12-21,App,Returned,Bank Transfer
30041,1029,2024-11-28,Web,Completed,Cash
30042,1029,2024-09-15,Web,Completed,Cash
30043,1075,2024-06-09,App,Completed,Card
30044,1116,2025-01-24,Web,Pending,Bank Transfer
30045,1032,2024-06-26,Web,Completed,Bank Transfer
30046,1002,2024-01-10,App,Pending,Bank Transfer
30047,1047,2024-09-17,App,Cancelled,Wallet
30048,1078,2025-02-10,App,Completed,Bank Transfer
30049,1084,2024-05-17,Web,Completed,Cash
30050,1022,2024-06-20,Web,Returned,Cash
30051,1075,2025-01-20,Web,Completed,Wallet
30052,1027,2024-01-13,Web,Returned,Wallet
30053,1067,2024-06-16,App,Pending,Bank Transfer
30054,1081,2024-05-09,Web,Completed,Card
30055,1108,2024-03-24,Web,Completed,Wallet
30056,1056,2024-11-16,App,Pending,Wallet
30057,1092,2024-11-14,App,Completed,Bank Transfer
30058,1093,2024-04-10,App,Completed,Bank Transfer
30059,1021,2024-11-24,Web,Completed,Wallet
30060,1047,2024-09-29,Web,Completed,Card
30061,1080,2024-09-21,Web,Pending,Wallet
30062,1101,2025-02-02,Web,Returned,Bank Transfer
30063,1059,2025-02-11,App,Completed,Bank Transfer
30064,1084,2024-02-07,App,Completed,Wallet
30065,1006,2025-02-22,App,Completed,Card
30066,1019,2024-04-03,App,Returned,Wallet
30067,1057,2024-04-04,Web,Completed,Wallet
30068,1069,2024-10-31,App,Completed,Bank Transfer
30069,1003,2024-03-09,Web,Completed,Card
30070,1001,2024-11-13,App,Completed,Cash
30071,1058,2025-03-19,App,Pending,Card
30072,1038,2024-08-23,Web,Completed,Wallet
30073,1015,2025-03-09,Web,Completed,Wallet
30074,1034,2024-11-29,Store,Completed,Wallet
30075,1061,2025-01-07,Web,Pending,Card
30076,1035,2025-01-10,Web,Completed,Bank Transfer
30077,1064,2024-05-16,Web,Completed,Wallet
30078,1113,2025-02-21,App,Completed,Wallet
30079,1025,2024-03-16,App,Returned,Card
30080,1024,2024-02-04,App,Completed,Cash
30081,1012,2024-01-01,Web,Completed,Cash
30082,1018,2024-10-22,App,Completed,Bank Transfer
30083,1015,2024-11-15,Web,Completed,Bank Transfer
30084,1108,2025-02-09,App,Completed,Wallet
30085,1080,2024-02-29,App,Returned,Card
30086,1027,2024-11-15,Web,Completed,Wallet
30087,1072,2024-12-14,Web,Completed,Bank Transfer
30088,1060,2024-11-23,Web,Completed,Card
30089,1046,2024-09-23,Web,Completed,Card
30090,1089,2024-12-26,Web,Completed,Bank Transfer
30091,1017,2024-08-16,App,Returned,Cash
30092,1093,2024-09-26,App,Completed,Cash
30093,1053,2024-11-11,Web,Completed,Card
30094,1008,2024-10-12,Web,Cancelled,Wallet
30095,1079,2024-10-17,Web,Completed,Cash
30096,1027,2024-07-31,Store,Completed,Wallet
30097,1046,2024-06-13,Web,Completed,Cash
30098,1050,2024-01-05,App,Pending,Cash
30099,1116,2024-12-04,App,Completed,Wallet
30100,1071,2025-01-13,App,Completed,Bank Transfer
30101,1003,2024-03-18,Store,Pending,Cash
30102,1093,2025-02-13,Web,Completed,Cash
30103,1064,2024-03-02,Store,Completed,Wallet
30104,1044,2024-05-11,Web,Completed,Bank Transfer
30105,1053,2024-03-29,Web,Completed,Cash
30106,1024,2024-08-24,App,Completed,Cash
30107,1060,2024-02-11,Store,Completed,Bank Transfer
30108,1003,2024-03-29,App,Completed,Cash
30109,1020,2025-02-05,Web,Cancelled,Bank Transfer
30110,1046,2024-10-22,Web,Cancelled,Bank Transfer
30111,1015,2024-11-23,Store,Completed,Wallet
30112,1025,2024-10-21,Web,Completed,Card
30113,1094,2024-04-13,App,Completed,Bank Transfer
30114,1078,2024-01-14,App,Completed,Wallet
30115,1071,2024-10-14,App,Pending,Card
30116,1017,2024-06-27,Web,Cancelled,Cash
30117,1108,2024-05-04,App,Completed,Card
30118,1084,2025-02-25,Web,Pending,Bank Transfer
30119,1100,2024-12-18,Store,Completed,Bank Transfer
30120,1009,2024-01-23,App,Completed,Bank Transfer
30121,1038,2024-03-03,Store,Completed,Bank Transfer
30122,1048,2024-05-22,Web,Returned,Bank Transfer
30123,1060,2024-06-01,Store,Completed,Wallet
30124,1063,2024-05-24,Web,Completed,Bank Transfer
30125,1086,2024-08-12,Web,Returned,Wallet
30126,1118,2025-03-25,Web,Completed,Cash
30127,1117,2024-11-04,App,Completed,Bank Transfer
30128,1117,2024-04-13,App,Completed,Bank Transfer
30129,1002,2024-04-13,App,Completed,Card
30130,1088,2025-03-10,Web,Completed,Cash
30131,1072,2024-02-08,Web,Completed,Bank Transfer
30132,1011,2025-03-10,App,Completed,Bank Transfer
30133,1064,2024-07-16,Web,Returned,Cash
30134,1077,2024-05-13,App,Completed,Wallet
30135,1081,2024-03-07,Store,Completed,Bank Transfer
30136,1072,2025-01-25,Store,Completed,Card
30137,1021,2024-06-27,Store,Completed,Bank Transfer
30138,1018,2024-02-11,App,Completed,Card
30139,1094,2025-03-23,Web,Completed,Card
30140,1064,2024-01-15,Web,Completed,Bank Transfer
30141,1082,2024-04-20,App,Completed,Bank Transfer
30142,1110,2024-06-05,App,Completed,Card
30143,1111,2024-10-15,Web,Completed,Cash
30144,1095,2024-08-18,Web,Completed,Cash
30145,1038,2025-02-14,Web,Completed,Bank Transfer
30146,1032,2025-02-23,App,Completed,Wallet
30147,1011,2024-06-05,Store,Completed,Cash
30148,1045,2024-02-07,App,Completed,Bank Transfer
30149,1089,2025-03-16,Web,Returned,Cash
30150,1033,2024-04-06,Store,Completed,Wallet
30151,1102,2025-02-14,App,Completed,Bank Transfer
30152,1041,2025-03-14,Web,Cancelled,Wallet
30153,1008,2024-10-15,Web,Completed,Bank Transfer
30154,1011,2024-09-10,Web,Completed,Wallet
30155,1086,2024-07-14,Web,Completed,Cash
30156,1051,2024-03-26,Store,Completed,Cash
30157,1088,2024-11-17,App,Returned,Wallet
