event_id,session_id,customer_id,event_time,event_type,device,traffic_source,page
500001,S100658,1057,2025-01-09 15:11:00,purchase,desktop,organic,/blog
500002,S100269,1104,2024-12-17 19:08:00,page_view,mobile,ads,/checkout
500003,S100148,1065,2024-12-07 08:15:00,search,mobile,ads,/checkout
500004,S100379,1091,2024-12-01 01:55:00,page_view,mobile,social,/cart
500005,S100027,1096,2025-01-12 20:42:00,search,mobile,direct,/product
500006,S100148,1033,2024-12-03 09:07:00,page_view,desktop,email,/product
500007,S100419,1113,2025-02-05 18:55:00,page_view,tablet,direct,/product
500008,S100279,1059,2024-12-05 06:14:00,purchase,mobile,email,/search
500009,S100181,1027,2024-12-16 15:00:00,search,desktop,email,/search
500010,S100165,1111,2024-11-28 14:06:00,purchase,desktop,direct,/product
500011,S100016,1054,2024-11-22 07:34:00,page_view,tablet,ads,/cart
500012,S100149,1097,2025-02-21 17:25:00,page_view,tablet,email,/home
500013,S100338,1071,2025-02-16 20:22:00,page_view,desktop,social,/blog
500014,S100044,1049,2024-12-15 03:05:00,add_to_cart,mobile,social,/search
500015,S100501,1104,2025-02-11 18:37:00,search,mobile,email,/product
500016,S100188,1075,2024-11-05 04:33:00,purchase,mobile,ads,/checkout
500017,S100650,1051,2024-12-14 09:01:00,page_view,desktop,email,/search
500018,S100060,1015,2024-11-02 20:25:00,add_to_cart,desktop,social,/home
500019,S100293,1115,2024-11-19 18:25:00,page_view,desktop,social,/search
500020,S100032,1005,2025-02-16 08:45:00,page_view,desktop,direct,/home
500021,S100298,1111,2024-12-24 22:21:00,search,mobile,ads,/home
500022,S100414,1047,2025-01-23 15:53:00,search,desktop,direct,/search
500023,S100623,1082,2024-11-15 13:58:00,page_view,mobile,organic,/home
500024,S100548,1119,2024-12-13 12:48:00,page_view,mobile,email,/search
500025,S100430,1020,2025-01-12 13:33:00,page_view,mobile,direct,/search
500026,S100494,1073,2024-11-17 00:17:00,page_view,desktop,ads,/cart
500027,S100099,1099,2024-12-26 00:44:00,page_view,mobile,email,/checkout
500028,S100022,1098,2025-01-07 09:11:00,page_view,desktop,email,/blog
500029,S100419,1068,2025-01-18 06:33:00,page_view,mobile,email,/home
500030,S100423,1081,2025-01-13 12:47:00,purchase,mobile,email,/search
500031,S100486,1098,2024-12-17 15:33:00,purchase,desktop,email,/home
500032,S100729,1108,2024-11-27 21:34:00,page_view,desktop,ads,/search
500033,S100088,1098,2024-12-14 02:32:00,purchase,mobile,organic,/blog
500034,S100208,1046,2025-01-05 09:54:00,search,mobile,social,/search
500035,S100270,,2025-02-06 01:01:00,page_view,tablet,organic,/search
500036,S100748,1056,2025-01-18 15:52:00,page_view,mobile,social,/checkout
500037,S100405,1004,2024-12-18 03:42:00,checkout,desktop,direct,/home
500038,S100720,1047,2025-01-24 21:27:00,search,mobile,email,/checkout
500039,S100277,1017,2025-02-13 03:42:00,checkout,mobile,direct,/checkout
500040,S100205,1016,2024-12-10 13:19:00,checkout,mobile,direct,/checkout
500041,S100589,1037,2025-01-07 02:23:00,page_view,desktop,social,/checkout
500042,S100327,1007,2025-01-31 06:38:00,page_view,desktop,ads,/cart
500043,S100609,1089,2024-12-04 14:55:00,page_view,mobile,email,/home
500044,S100335,1010,2025-01-26 14:36:00,page_view,desktop,direct,/home
500045,S100605,1027,2025-01-24 04:09:00,page_view,desktop,organic,/search
500046,S100591,1012,2024-11-07 21:07:00,page_view,tablet,email,/home
500047,S100037,1009,2025-01-06 13:05:00,page_view,mobile,ads,/blog
500048,S100227,1035,2024-11-23 18:20:00,page_view,mobile,email,/checkout
500049,S100482,1074,2024-11-25 08:45:00,page_view,desktop,direct,/product
500050,S100133,,2024-11-15 04:26:00,page_view,mobile,organic,/home
500051,S100707,1113,2024-11-06 04:45:00,page_view,mobile,direct,/product
500052,S100389,1113,2024-12-05 09:27:00,page_view,desktop,ads,/blog
500053,S100793,1023,2025-01-26 12:44:00,search,mobile,social,/cart
500054,S100612,1034,2025-01-03 04:45:00,purchase,mobile,organic,/search
500055,S100424,1010,2024-12-11 15:28:00,page_view,mobile,ads,/search
500056,S100586,1100,2025-01-23 18:31:00,page_view,desktop,ads,/search
500057,S100509,1009,2024-11-20 07:19:00,checkout,mobile,direct,/cart
500058,S100719,1072,2025-02-11 04:39:00,search,desktop,direct,/checkout
500059,S100594,1032,2025-02-05 04:38:00,add_to_cart,desktop,direct,/product
500060,S100426,1032,2025-01-05 20:17:00,page_view,mobile,social,/home
500061,S100654,,2024-12-11 11:00:00,add_to_cart,mobile,email,/checkout
500062,S100473,1098,2025-02-10 08:29:00,purchase,mobile,email,/search
500063,S100567,1108,2025-02-17 04:35:00,search,desktop,direct,/search
500064,S100360,1074,2024-11-09 23:43:00,page_view,mobile,direct,/checkout
500065,S100798,1112,2025-02-07 04:18:00,checkout,desktop,social,/product
500066,S100210,1083,2025-02-25 13:36:00,add_to_cart,mobile,email,/checkout
500067,S100178,,2025-01-24 07:21:00,add_to_cart,mobile,social,/cart
500068,S100057,1037,2025-02-14 05:27:00,page_view,mobile,ads,/search
500069,S100072,1077,2025-02-20 20:06:00,add_to_cart,desktop,email,/product
500070,S100214,1089,2024-11-20 00:11:00,page_view,mobile,direct,/home
500071,S100777,1051,2025-01-08 13:46:00,page_view,mobile,organic,/search
500072,S100072,1113,2025-01-10 07:28:00,search,desktop,ads,/checkout
500073,S100466,,2025-02-02 18:08:00,page_view,desktop,organic,/product
500074,S100270,1064,2025-02-23 01:18:00,search,desktop,social,/search
500075,S100498,1051,2024-11-18 20:47:00,search,desktop,social,/home
500076,S100353,1061,2025-01-19 04:00:00,page_view,desktop,social,/home
500077,S100233,1110,2024-12-15 10:09:00,search,mobile,direct,/blog
500078,S100318,1083,2025-02-19 17:20:00,purchase,mobile,social,/checkout
500079,S100018,1006,2024-12-18 14:11:00,page_view,desktop,organic,/cart
500080,S100624,1070,2024-11-28 03:37:00,search,mobile,ads,/checkout
500081,S100574,1003,2025-02-24 07:36:00,page_view,desktop,direct,/product
500082,S100371,1100,2024-12-06 07:39:00,page_view,mobile,ads,/checkout
500083,S100183,1043,2025-02-15 09:42:00,page_view,mobile,social,/product
500084,S100276,1061,2025-02-15 08:13:00,page_view,mobile,email,/blog
500085,S100673,1103,2025-02-20 06:50:00,page_view,mobile,direct,/blog
500086,S100754,1006,2024-12-10 10:30:00,purchase,desktop,social,/blog
500087,S100144,1021,2024-12-16 14:56:00,search,mobile,direct,/cart
500088,S100657,1052,2024-11-11 20:48:00,search,mobile,email,/blog
500089,S100080,1030,2024-12-13 21:39:00,page_view,tablet,organic,/checkout
500090,S100321,1044,2025-01-13 20:51:00,search,mobile,organic,/home
500091,S100434,,2024-11-26 11:12:00,page_view,desktop,organic,/product
500092,S100042,1106,2024-12-18 23:49:00,page_view,tablet,email,/product
500093,S100312,1114,2024-11-25 00:33:00,page_view,tablet,ads,/home
500094,S100292,,2025-02-09 14:18:00,page_view,desktop,email,/checkout
500095,S100687,1044,2024-11-07 19:35:00,page_view,mobile,email,/cart
500096,S100068,1039,2025-02-15 06:38:00,search,tablet,social,/search
500097,S100055,1031,2025-02-09 14:26:00,checkout,desktop,organic,/checkout
500098,S100630,1107,2025-02-21 20:15:00,page_view,desktop,direct,/blog
500099,S100203,1088,2024-11-15 19:02:00,page_view,mobile,ads,/checkout
500100,S100419,1031,2024-12-30 03:00:00,page_view,tablet,direct,/product
500101,S100566,1049,2025-02-19 08:27:00,purchase,desktop,social,/product
500102,S100549,1065,2024-12-21 22:36:00,add_to_cart,desktop,social,/cart
500103,S100242,1068,2024-12-05 05:22:00,search,mobile,ads,/blog
500104,S100200,1114,2025-01-29 04:51:00,purchase,mobile,direct,/cart
500105,S100747,1049,2025-01-24 06:27:00,page_view,tablet,ads,/cart
500106,S100473,1117,2024-11-17 12:54:00,purchase,mobile,ads,/home
500107,S100526,1057,2025-02-16 18:01:00,page_view,mobile,organic,/search
500108,S100655,1096,2025-02-22 18:18:00,page_view,desktop,direct,/search
500109,S100076,1120,2024-12-27 17:13:00,search,mobile,organic,/blog
500110,S100477,1117,2024-12-07 01:40:00,page_view,mobile,organic,/cart
500111,S100439,1008,2024-12-31 06:36:00,search,mobile,organic,/product
500112,S100262,1027,2024-11-26 07:56:00,page_view,mobile,email,/search
500113,S100184,1062,2025-02-18 06:35:00,search,mobile,social,/checkout
500114,S100054,1056,2025-02-01 06:01:00,page_view,mobile,social,/home
500115,S100307,1083,2024-11-30 08:38:00,page_view,mobile,email,/product
500116,S100515,,2024-11-11 20:34:00,checkout,desktop,ads,/home
500117,S100298,1015,2025-01-27 16:19:00,checkout,desktop,direct,/checkout
500118,S100551,1058,2025-02-07 15:17:00,purchase,mobile,direct,/search
500119,S100229,1025,2025-02-19 03:58:00,add_to_cart,mobile,direct,/home
500120,S100376,1115,2024-12-07 05:56:00,add_to_cart,mobile,organic,/blog
500121,S100285,,2025-01-08 12:39:00,search,desktop,direct,/home
500122,S100137,1062,2025-01-30 21:01:00,page_view,tablet,direct,/home
500123,S100477,1014,2024-11-14 11:40:00,page_view,mobile,direct,/checkout
500124,S100614,1101,2025-02-17 13:08:00,page_view,mobile,social,/product
500125,S100006,1090,2024-11-05 07:38:00,checkout,desktop,email,/product
500126,S100675,1046,2025-01-26 07:23:00,page_view,desktop,ads,/checkout
500127,S100418,1114,2024-12-15 11:37:00,purchase,mobile,email,/home
500128,S100471,,2024-12-25 14:09:00,search,desktop,direct,/home
500129,S100419,1072,2025-02-07 19:38:00,add_to_cart,desktop,ads,/cart
500130,S100275,1073,2025-01-25 11:48:00,page_view,tablet,ads,/blog
500131,S100560,1039,2024-11-07 23:26:00,page_view,mobile,email,/search
500132,S100607,1075,2025-01-21 13:42:00,purchase,tablet,email,/search
500133,S100570,1057,2025-01-15 22:25:00,page_view,mobile,email,/product
500134,S100742,1039,2024-11-26 18:37:00,page_view,desktop,email,/checkout
500135,S100688,1009,2025-01-30 06:20:00,page_view,mobile,organic,/home
500136,S100089,1033,2025-02-03 11:17:00,page_view,mobile,social,/blog
500137,S100281,1026,2024-11-13 01:33:00,page_view,desktop,social,/search
500138,S100547,1070,2024-12-02 13:32:00,search,mobile,direct,/checkout
500139,S100170,1078,2024-11-05 14:54:00,page_view,mobile,organic,/checkout
500140,S100637,1079,2025-02-21 17:52:00,search,mobile,ads,/home
500141,S100354,1050,2025-01-25 15:19:00,page_view,mobile,email,/blog
500142,S100203,1055,2025-01-13 08:46:00,add_to_cart,mobile,direct,/checkout
500143,S100288,1107,2024-11-19 11:03:00,add_to_cart,tablet,ads,/search
500144,S100461,1062,2025-01-05 10:42:00,page_view,mobile,social,/cart
500145,S100608,,2025-02-04 10:32:00,page_view,mobile,ads,/search
500146,S100749,1057,2024-12-08 11:28:00,page_view,mobile,email,/blog
500147,S100172,1084,2025-02-02 14:55:00,add_to_cart,mobile,email,/cart
500148,S100300,1007,2025-02-04 23:51:00,add_to_cart,mobile,social,/checkout
500149,S100599,1084,2025-02-22 08:23:00,checkout,mobile,email,/search
500150,S100528,1110,2025-01-31 09:10:00,page_view,mobile,organic,/home
500151,S100139,,2024-11-12 13:32:00,page_view,mobile,direct,/blog
500152,S100765,,2025-01-18 13:14:00,page_view,desktop,social,/checkout
500153,S100277,1037,2025-01-11 04:09:00,page_view,desktop,social,/home
500154,S100662,1074,2024-12-24 11:21:00,search,mobile,ads,/cart
500155,S100510,1058,2025-01-26 07:09:00,page_view,mobile,social,/product
500156,S100345,1073,2024-12-24 07:17:00,add_to_cart,desktop,direct,/product
500157,S100139,1021,2024-11-17 22:35:00,search,mobile,organic,/cart
500158,S100113,1110,2025-02-01 15:27:00,add_to_cart,tablet,ads,/product
500159,S100579,1117,2025-01-10 19:38:00,page_view,mobile,direct,/blog
500160,S100506,1058,2025-01-31 08:52:00,checkout,mobile,social,/checkout
500161,S100365,1036,2025-01-26 11:41:00,purchase,desktop,email,/checkout
500162,S100690,1019,2024-11-06 14:43:00,checkout,desktop,email,/blog
500163,S100636,1088,2025-01-14 00:38:00,add_to_cart,mobile,direct,/search
500164,S100396,1041,2025-02-03 20:55:00,add_to_cart,mobile,organic,/checkout
500165,S100744,1117,2025-01-06 18:51:00,search,mobile,email,/product
500166,S100658,1087,2025-01-23 15:03:00,page_view,tablet,direct,/blog
500167,S100110,1083,2024-11-05 14:13:00,search,desktop,ads,/home
500168,S100357,1072,2025-01-16 09:53:00,add_to_cart,mobile,social,/search
500169,S100237,1006,2025-02-28 04:12:00,purchase,mobile,organic,/home
500170,S100002,1120,2024-12-23 22:02:00,search,mobile,organic,/product
500171,S100722,1081,2025-02-18 06:07:00,page_view,mobile,ads,/home
500172,S100403,,2024-12-30 11:46:00,add_to_cart,mobile,organic,/product
500173,S100024,1069,2024-11-16 07:48:00,purchase,desktop,direct,/checkout
500174,S100508,1092,2024-12-05 01:37:00,page_view,mobile,organic,/search
500175,S100695,1008,2024-11-14 03:46:00,page_view,mobile,organic,/cart
500176,S100464,1081,2025-02-14 06:59:00,search,desktop,organic,/product
500177,S100060,1099,2024-12-30 04:37:00,page_view,mobile,direct,/blog
500178,S100507,1100,2024-11-05 00:09:00,page_view,mobile,social,/blog
500179,S100122,1099,2025-02-17 07:15:00,page_view,mobile,email,/checkout
500180,S100496,1030,2024-12-13 14:20:00,checkout,mobile,organic,/blog
500181,S100054,,2024-12-25 23:59:00,page_view,desktop,ads,/home
500182,S100162,,2025-01-12 09:02:00,page_view,desktop,ads,/checkout
500183,S100698,1010,2025-02-24 10:34:00,add_to_cart,mobile,direct,/blog
500184,S100038,,2024-11-24 05:14:00,purchase,mobile,social,/home
500185,S100696,1038,2024-11-16 08:22:00,purchase,mobile,organic,/home
500186,S100082,1089,2024-11-15 22:56:00,page_view,mobile,direct,/home
500187,S100706,1044,2025-01-12 15:59:00,purchase,mobile,email,/blog
500188,S100545,,2024-12-06 06:15:00,page_view,mobile,social,/home
500189,S100112,1014,2024-11-22 15:07:00,add_to_cart,mobile,social,/search
500190,S100424,1064,2024-12-06 02:06:00,search,mobile,direct,/blog
500191,S100229,1055,2025-02-16 10:51:00,page_view,desktop,ads,/home
500192,S100282,1042,2025-01-12 16:23:00,search,desktop,social,/search
500193,S100286,1083,2025-01-17 21:40:00,page_view,tablet,ads,/cart
500194,S100154,1017,2025-01-26 06:33:00,checkout,mobile,social,/search
500195,S100164,1092,2024-11-17 00:48:00,page_view,desktop,social,/blog
500196,S100181,,2024-12-18 13:04:00,search,desktop,social,/blog
500197,S100238,1104,2025-01-13 13:21:00,page_view,tablet,email,/home
